EOTV.ElapsedDays,EOTV.ElapsedSecs,EOTV.RAPTank1.FuelMass,REV,AOL,EOTV.EarthMJ2000Eq.AOP,EOTV.Earth.SMA,EOTV.EarthMJ2000Eq.RAAN,EOTV.Earth.ECC,EOTV.EarthMJ2000Eq.INC,EOTV.Earth.OrbitPeriod,EOTV.HET1.ThrustDirection1,EOTV.HET1.ThrustDirection2,EOTV.HET1.ThrustDirection3,EOTV.EOTVSolarArrays.ThrustPowerAvailable,EOTV.Earth.BetaAngle,EOTV.TotalMass
6.035785196,521491.8409,2903.333372,97,129.6521655,13.05180902,7783.346813,272.6298919,0.010097808,26.33771598,6833.773087,0.732691553,0.680560862,0,200679.786,-26.40244606,23399.33337
6.037556895,521644.9158,2903.127282,97,137.6408052,13.2456835,7784.093871,272.6233325,0.00996057,26.34048105,6834.756986,0.680903941,0.732372735,0,200677.9619,-26.40613912,23399.12728
6.039330292,521798.1373,2902.920994,97,145.6172996,13.26655933,7784.807665,272.6188253,0.009813116,26.34299268,6835.697118,0.639782382,0.768556116,0,200676.3685,-26.40891359,23398.92099
6.041105313,521951.4991,2902.714518,97,153.5836754,13.08230691,7785.457985,272.6161262,0.009664747,26.345015,6836.553688,0.608649238,0.793439415,0,200675.0356,-26.41086813,23398.71452
6.042881819,522104.9892,2902.507869,97,161.5420637,12.68070219,7786.018516,272.6148634,0.009526381,26.34634505,6837.292019,0.586576886,0.809893547,0,200673.9879,-26.41215937,23398.50787
6.044659617,522258.5909,2902.301069,97,169.4946963,12.07498858,7786.469009,272.6145569,0.00940902,26.34682848,6837.885428,0.572756431,0.819725607,0,200673.2446,-26.41299383,23398.30107
6.046438453,522412.2824,2902.094149,97,177.4437883,11.30528402,7786.797035,272.6146496,0.009322019,26.34637223,6838.31753,0.566634943,0.823968956,0,200672.8192,-26.41361472,23398.09415
6.048217889,522566.0256,2901.887159,97,185.3909126,10.43417906,7786.999087,272.6145455,0.009271489,26.34495292,6838.583693,0.567957394,0.823057956,0,200672.7187,-26.4142851,23397.88716
6.049997526,522719.7862,2901.680146,97,193.3379058,9.536299873,7787.081,272.6136538,0.00925923,26.34261991,6838.691598,0.57677463,0.816903315,0,200672.944,-26.41526866,23397.68015
6.051776847,522873.5196,2901.473169,97,201.2860552,8.684548489,7787.057579,272.6114325,0.009282501,26.33949297,6838.660745,0.59344027,0.804878031,0,200673.4894,-26.41680984,23397.47317
6.053555117,523027.1621,2901.266315,97,209.2355624,7.936818568,7786.951631,272.6074322,0.009334684,26.33575478,6838.521179,0.618587357,0.785716031,0,200674.3424,-26.41911449,23397.26632
6.055331812,523180.6686,2901.059644,97,217.187365,7.32673164,7786.792435,272.6013314,0.009406675,26.33163738,6838.31147,0.653063262,0.757303357,0,200675.4849,-26.42233358,23397.05964
6.057106321,523333.9861,2900.853227,97,225.1417087,6.860797529,7786.613861,272.5929657,0.009488608,26.32740597,6838.076238,0.697727009,0.716363749,0,200676.8927,-26.42654967,23396.85323
6.058877983,523487.0578,2900.647141,97,233.0982512,6.521002648,7786.452249,272.5823474,0.009571558,26.32333919,6837.863351,0.752948672,0.658079249,0,200678.5361,-26.43176775,23396.64714
6.060646308,523639.841,2900.441444,97,241.0569765,6.271287445,7786.34403,272.5696726,0.009648942,26.31970717,6837.720799,0.817531112,0.575884433,0,200680.3811,-26.43791144,23396.44144
